,sensor_id,sensor_name,logger_id,site_name
0,69,TLT073,105,Pad E
1,70,TLT074,106,Pad E
2,71,TLT075,107,Pad E
3,72,TLT076,108,Cawayan Backdoor
4,73,TLT077,109,Cawayan Backdoor
5,74,TLT078,110,Cawayan Backdoor
6,75,TLT079,111,Pad H
7,76,TLT080,112,Pad H
8,77,TLT081,113,Palayan Pressure Reduction Station
9,78,TLT082,114,Palayan Pressure Reduction Station
10,79,TLT083,115,Palayan Pressure Reduction Station
11,80,TLT084,116,Palayan Interface
12,81,TLT085,117,Palayan Interface
13,82,TLT062,118,Cawayan Loop Road
14,83,TLT063,119,Cawayan Loop Road
15,84,TLT064,120,Cawayan Loop Road
16,85,TLT065,121,Cawayan Loop Road
17,86,TLT066,122,Cawayan Loop Road
18,87,TLT067,123,Cawayan Loop Road
19,88,TLT086,124,Thru Cut
20,89,TLT087,125,Thru Cut
21,90,TLT088,126,Pad C1
22,91,TLT089,127,Pad C1
23,93,TLT091,144,Upper Mahiao Road
24,94,TLT092,145,Upper Mahiao Road
25,95,TLT093,146,Upper Mahiao Road
26,96,TLT094,147,MSL
27,97,TLT095,148,MSL
28,98,TLT096,149,MSL
29,101,TLT099,152,Palayan Interface
30,102,TLT100,153,Malaunay
31,103,TLT101,154,Malaunay
32,104,TLT102,155,Malaunay
33,105,TLT103,156,NJ3RD
34,106,TLT104,157,NJ3RD
35,107,TLT105,158,NJ3RD
36,108,TLT118,159,Mandarangan
37,109,TLT119,160,Mandarangan
38,110,TLT120,161,Mandarangan
39,111,TLT106,162,MGA-PP
40,112,TLT107,163,MGA-PP
41,113,TLT108,164,RD1
42,114,TLT109,165,RD1
43,115,TLT110,166,RD1
44,116,TLT114,167,NJRA
45,117,TLT115,168,NJRA
46,118,TLT116,169,NJRA
47,119,TLT111,170,SG2D
48,120,TLT112,171,SG2D
49,121,TLT113,172,SG2D
50,123,TLT123,174,Pad C1
51,124,TLT128,178,N3
52,125,TLT129,179,N3
53,126,TLT130,180,N3
54,127,TLT131,183,Lower Thru Cut
55,128,TLT132,184,Lower Thru Cut
56,129,TLT124,185,Thru Cut
57,133,TLT134,190,South Lagunao
58,134,TLT135,191,South Lagunao
59,135,TLT136,192,South Lagunao
60,136,TLT133,193,Lower Thru Cut
61,137,TLT137,195,Landslide Area 1
62,138,TLT138,196,Landslide Area 1
63,139,TLT139,197,Landslide Area 1
64,140,TLT140,198,Pad A
65,141,TLT141,199,Pad A
66,142,TLT142,200,Pad A
67,143,TLT143,201,KM 00
68,144,TLT144,202,KM 00
69,145,TLT145,203,KM 00
70,146,TLT146,204,Section 1
71,147,TLT147,205,Section 1
72,148,TLT148,206,Section 1
73,149,TLT149,207,Section 2
74,150,TLT150,208,Section 2
75,151,TLT151,209,Section 2
76,152,TLT152,210,Site H
77,153,TLT153,211,Site H
78,154,TLT154,212,Site H
